Species,Processor,Duration_sec,Output_size_MB,Num_models
Medicago truncatula,51,163.55,3.09,25712
Medicago truncatula,52,155.65,3.09,25712
Medicago truncatula,53,138.7,3.09,25712
Medicago truncatula,54,141.03,3.09,25712
Medicago truncatula,55,152.89,3.09,25712
Medicago truncatula,56,160.01,3.09,25712
Medicago truncatula,57,160.02,3.09,25712
Medicago truncatula,58,162.65,3.09,25712
Medicago truncatula,59,162.15,3.09,25712
Medicago truncatula,60,154.26,3.09,25712
Medicago truncatula,61,141.16,3.09,25712
Medicago truncatula,62,158.14,3.09,25712
Medicago truncatula,63,157.42,3.09,25712
Medicago truncatula,64,181.02,3.09,25712
Medicago truncatula,65,162.28,3.09,25712
Medicago truncatula,66,165.88,3.09,25712
Medicago truncatula,67,163.88,3.09,25712
Medicago truncatula,68,208.33,3.09,25712
Medicago truncatula,69,162.9,3.09,25712
Medicago truncatula,70,160.51,3.09,25712
Medicago truncatula,71,167.22,3.09,25712
Medicago truncatula,72,160.48,3.09,25712
Medicago truncatula,73,166.86,3.09,25712
Medicago truncatula,74,162.53,3.09,25712
Medicago truncatula,75,159.43,3.09,25712
Medicago truncatula,76,165.92,3.09,25712
Medicago truncatula,77,164.23,3.09,25712
Medicago truncatula,78,171.51,3.09,25712
Medicago truncatula,79,171.86,3.09,25712
Medicago truncatula,80,170.98,3.09,25712
Medicago truncatula,81,170.17,3.09,25712
Medicago truncatula,82,168.79,3.09,25712
Medicago truncatula,83,187.55,3.09,25712
Medicago truncatula,84,170.56,3.09,25712
Medicago truncatula,85,176.34,3.09,25712
Medicago truncatula,86,167.48,3.09,25712
Medicago truncatula,87,182.31,3.09,25712
Medicago truncatula,88,185.64,3.09,25712
Medicago truncatula,89,176.61,3.09,25712
Medicago truncatula,90,179.29,3.09,25712
Medicago truncatula,91,191.61,3.09,25712
Medicago truncatula,92,180.35,3.09,25712
Medicago truncatula,93,179.78,3.09,25712
Medicago truncatula,94,193.23,3.09,25712
Medicago truncatula,95,196.84,3.09,25712
Medicago truncatula,96,197.78,3.09,25712
Medicago truncatula,97,204.29,3.09,25712
Medicago truncatula,98,200.11,3.09,25712
Medicago truncatula,99,207.59,3.09,25712
Medicago truncatula,100,199.14,3.09,25712
Medicago truncatula,101,212.75,3.09,25712
Medicago truncatula,102,210.71,3.09,25712
